mois,vivants,morts_juv_cum,morts_enf_cum,morts_adult_cum,morts_total_cum,naiss_mois,morts_juv_mois,morts_enf_mois,morts_adult_mois,morts_mois,source_file
153,697965,3972932,204342,90131,4267405,374393,299461,15630,6888,321979,SimulationLapin_192_mois_13|01_01:12_25.csv
154,755880,4297726,220982,97357,4616065,406575,324794,16640,7226,348660,SimulationLapin_192_mois_13|01_01:12_25.csv
155,818143,4648931,239020,105161,4993112,439310,351205,18038,7804,377047,SimulationLapin_192_mois_13|01_01:12_25.csv
156,885237,5030184,258676,113910,5402770,476752,381253,19656,8749,409658,SimulationLapin_192_mois_13|01_01:12_25.csv
157,957610,5442552,279777,123304,5845633,515236,412368,21101,9394,442863,SimulationLapin_192_mois_13|01_01:12_25.csv
158,1036351,5888551,302721,133274,6324546,557654,445999,22944,9970,478913,SimulationLapin_192_mois_13|01_01:12_25.csv
159,1121248,6370769,327313,144166,6842248,602599,482218,24592,10892,517702,SimulationLapin_192_mois_13|01_01:12_25.csv
160,1213398,6894107,354357,156069,7404533,654435,523338,27044,11903,562285,SimulationLapin_192_mois_13|01_01:12_25.csv
161,1312419,7459589,383288,168924,8011801,706289,565482,28931,12855,607268,SimulationLapin_192_mois_13|01_01:12_25.csv
162,1419913,8073729,414716,182912,8671357,767050,614140,31428,13988,659556,SimulationLapin_192_mois_13|01_01:12_25.csv
163,1536623,8734836,448875,197844,9381555,826908,661107,34159,14932,710198,SimulationLapin_192_mois_13|01_01:12_25.csv
164,1662628,9454263,485799,214255,10154317,898767,719427,36924,16411,772762,SimulationLapin_192_mois_13|01_01:12_25.csv
165,1798784,10228435,525650,231910,10985995,967834,774172,39851,17655,831678,SimulationLapin_192_mois_13|01_01:12_25.csv
166,1946962,11068688,568693,250925,11888306,1050489,840253,43043,19015,902311,SimulationLapin_192_mois_13|01_01:12_25.csv
167,2106084,11974538,615632,271452,12861622,1132438,905850,46939,20527,973316,SimulationLapin_192_mois_13|01_01:12_25.csv
168,2279185,12957029,666095,293963,13917087,1228566,982491,50463,22511,1055465,SimulationLapin_192_mois_13|01_01:12_25.csv
169,2465625,14019090,720666,318114,15057870,1327223,1062061,54571,24151,1140783,SimulationLapin_192_mois_13|01_01:12_25.csv
170,2668121,15167792,779579,344057,16291428,1436054,1148702,58913,25943,1233558,SimulationLapin_192_mois_13|01_01:12_25.csv
171,2887290,16410747,843767,372045,17626559,1554300,1242955,64188,27988,1335131,SimulationLapin_192_mois_13|01_01:12_25.csv
172,3124282,17758989,913226,402705,19074920,1685353,1348242,69459,30660,1448361,SimulationLapin_192_mois_13|01_01:12_25.csv
173,3381124,19216691,987847,435858,20640396,1822318,1457702,74621,33153,1565476,SimulationLapin_192_mois_13|01_01:12_25.csv
174,3659300,20794256,1068589,471176,22334021,1971801,1577565,80742,35318,1693625,SimulationLapin_192_mois_13|01_01:12_25.csv
175,3959974,22500239,1155893,509620,24165752,2132405,1705983,87304,38444,1831731,SimulationLapin_192_mois_13|01_01:12_25.csv
176,4286286,24345871,1250321,551252,26147444,2308004,1845632,94428,41632,1981692,SimulationLapin_192_mois_13|01_01:12_25.csv
177,4638964,26343831,1354147,596205,28294183,2499417,1997960,103826,44953,2146739,SimulationLapin_192_mois_13|01_01:12_25.csv
178,5019736,28506366,1465408,645298,30617072,2703661,2162535,111261,49093,2322889,SimulationLapin_192_mois_13|01_01:12_25.csv
179,5432359,30849526,1584923,698045,33132494,2928045,2343160,119515,52747,2515422,SimulationLapin_192_mois_13|01_01:12_25.csv
180,5878007,33382032,1714546,755290,35851868,3165022,2532506,129623,57245,2719374,SimulationLapin_192_mois_13|01_01:12_25.csv
181,6359676,36122068,1855189,817056,38794313,3424114,2740036,140643,61766,2942445,SimulationLapin_192_mois_13|01_01:12_25.csv
182,6882985,39086913,2007209,884306,41978428,3707424,2964845,152020,67250,3184115,SimulationLapin_192_mois_13|01_01:12_25.csv
183,7447417,42298688,2172130,956884,45427702,4013706,3211775,164921,72578,3449274,SimulationLapin_192_mois_13|01_01:12_25.csv
184,8060183,45774286,2350262,1035512,49160060,4345124,3475598,178132,78628,3732358,SimulationLapin_192_mois_13|01_01:12_25.csv
185,8720205,49534304,2542797,1120183,53197284,4697246,3760018,192535,84671,4037224,SimulationLapin_192_mois_13|01_01:12_25.csv
186,9438911,53604461,2750534,1212003,57566998,5088420,4070157,207737,91820,4369714,SimulationLapin_192_mois_13|01_01:12_25.csv
187,10214135,58005562,2976613,1311449,62293624,5501850,4401101,226079,99446,4726626,SimulationLapin_192_mois_13|01_01:12_25.csv
188,11053673,62766926,3221152,1419978,67408056,5953970,4761364,244539,108529,5114432,SimulationLapin_192_mois_13|01_01:12_25.csv
189,11962020,67919577,3485914,1536784,72942275,6442566,5152651,264762,116806,5534219,SimulationLapin_192_mois_13|01_01:12_25.csv
190,12943916,73497076,3772693,1663019,78932788,6972409,5577499,286779,126235,5990513,SimulationLapin_192_mois_13|01_01:12_25.csv
191,14007308,79531080,4081521,1799734,85412335,7542939,6034004,308828,136715,6479547,SimulationLapin_192_mois_13|01_01:12_25.csv
192,15158895,86068193,4416720,1947258,92432171,8171423,6537113,335199,147524,7019836,SimulationLapin_192_mois_13|01_01:12_25.csv
1,4,0,0,0,0,0,0,0,0,0,SimulationLapin_192_mois_13|01_01:13_26.csv
2,5,8,0,0,8,9,8,0,0,8,SimulationLapin_192_mois_13|01_01:13_26.csv
3,5,8,0,0,8,0,0,0,0,0,SimulationLapin_192_mois_13|01_01:13_26.csv
4,6,18,1,0,19,12,10,1,0,11,SimulationLapin_192_mois_13|01_01:13_26.csv
5,6,18,1,0,19,0,0,0,0,0,SimulationLapin_192_mois_13|01_01:13_26.csv
6,6,29,1,0,30,11,11,0,0,11,SimulationLapin_192_mois_13|01_01:13_26.csv
7,6,29,1,0,30,0,0,0,0,0,SimulationLapin_192_mois_13|01_01:13_26.csv
8,8,35,1,0,36,8,6,0,0,6,SimulationLapin_192_mois_13|01_01:13_26.csv
9,8,35,1,0,36,0,0,0,0,0,SimulationLapin_192_mois_13|01_01:13_26.csv
10,10,44,1,0,45,11,9,0,0,9,SimulationLapin_192_mois_13|01_01:13_26.csv
11,8,44,3,0,47,0,0,2,0,2,SimulationLapin_192_mois_13|01_01:13_26.csv
12,9,49,3,0,52,6,5,0,0,5,SimulationLapin_192_mois_13|01_01:13_26.csv
13,9,49,3,0,52,0,0,0,0,0,SimulationLapin_192_mois_13|01_01:13_26.csv
14,9,54,4,0,58,6,5,1,0,6,SimulationLapin_192_mois_13|01_01:13_26.csv
15,9,54,4,0,58,0,0,0,0,0,SimulationLapin_192_mois_13|01_01:13_26.csv
16,8,62,5,1,68,9,8,1,1,10,SimulationLapin_192_mois_13|01_01:13_26.csv
17,7,62,5,2,69,0,0,0,1,1,SimulationLapin_192_mois_13|01_01:13_26.csv
18,8,68,5,2,75,7,6,0,0,6,SimulationLapin_192_mois_13|01_01:13_26.csv
19,9,74,5,2,81,7,6,0,0,6,SimulationLapin_192_mois_13|01_01:13_26.csv
20,14,79,5,2,86,10,5,0,0,5,SimulationLapin_192_mois_13|01_01:13_26.csv
21,13,84,7,3,94,7,5,2,1,8,SimulationLapin_192_mois_13|01_01:13_26.csv
22,13,92,8,3,103,9,8,1,0,9,SimulationLapin_192_mois_13|01_01:13_26.csv
23,12,101,8,4,113,9,9,0,1,10,SimulationLapin_192_mois_13|01_01:13_26.csv
24,11,109,9,4,122,8,8,1,0,9,SimulationLapin_192_mois_13|01_01:13_26.csv
25,9,112,10,5,127,3,3,1,1,5,SimulationLapin_192_mois_13|01_01:13_26.csv
26,13,128,10,5,143,20,16,0,0,16,SimulationLapin_192_mois_13|01_01:13_26.csv
27,10,133,11,7,151,5,5,1,2,8,SimulationLapin_192_mois_13|01_01:13_26.csv
28,13,145,11,7,163,15,12,0,0,12,SimulationLapin_192_mois_13|01_01:13_26.csv
29,13,150,11,7,168,5,5,0,0,5,SimulationLapin_192_mois_13|01_01:13_26.csv
30,14,164,12,7,183,16,14,1,0,15,SimulationLapin_192_mois_13|01_01:13_26.csv
31,14,167,12,7,186,3,3,0,0,3,SimulationLapin_192_mois_13|01_01:13_26.csv
32,15,185,12,7,204,19,18,0,0,18,SimulationLapin_192_mois_13|01_01:13_26.csv
33,15,189,12,7,208,4,4,0,0,4,SimulationLapin_192_mois_13|01_01:13_26.csv
34,20,211,12,7,230,27,22,0,0,22,SimulationLapin_192_mois_13|01_01:13_26.csv
35,22,222,12,8,242,14,11,0,1,12,SimulationLapin_192_mois_13|01_01:13_26.csv
36,28,240,14,8,262,26,18,2,0,20,SimulationLapin_192_mois_13|01_01:13_26.csv
37,31,249,15,9,273,14,9,1,1,11,SimulationLapin_192_mois_13|01_01:13_26.csv
38,39,269,16,9,294,29,20,1,0,21,SimulationLapin_192_mois_13|01_01:13_26.csv
39,42,281,19,9,309,18,12,3,0,15,SimulationLapin_192_mois_13|01_01:13_26.csv
40,46,298,21,9,328,23,17,2,0,19,SimulationLapin_192_mois_13|01_01:13_26.csv
41,50,323,22,9,354,30,25,1,0,26,SimulationLapin_192_mois_13|01_01:13_26.csv
42,53,357,23,10,390,39,34,1,1,36,SimulationLapin_192_mois_13|01_01:13_26.csv
43,61,382,24,10,416,34,25,1,0,26,SimulationLapin_192_mois_13|01_01:13_26.csv
44,66,438,24,10,472,61,56,0,0,56,SimulationLapin_192_mois_13|01_01:13_26.csv
45,69,474,25,10,509,40,36,1,0,37,SimulationLapin_192_mois_13|01_01:13_26.csv
46,77,520,29,12,561,60,46,4,2,52,SimulationLapin_192_mois_13|01_01:13_26.csv
47,82,565,33,13,611,55,45,4,1,50,SimulationLapin_192_mois_13|01_01:13_26.csv
48,97,629,33,14,676,80,64,0,1,65,SimulationLapin_192_mois_13|01_01:13_26.csv
49,109,670,37,14,721,57,41,4,0,45,SimulationLapin_192_mois_13|01_01:13_26.csv
50,127,752,40,14,806,103,82,3,0,85,SimulationLapin_192_mois_13|01_01:13_26.csv
51,143,805,41,15,861,71,53,1,1,55,SimulationLapin_192_mois_13|01_01:13_26.csv
52,160,883,45,15,943,99,78,4,0,82,SimulationLapin_192_mois_13|01_01:13_26.csv
53,166,945,50,16,1011,74,62,5,1,68,SimulationLapin_192_mois_13|01_01:13_26.csv
54,183,1039,54,16,1109,115,94,4,0,98,SimulationLapin_192_mois_13|01_01:13_26.csv
55,193,1113,55,16,1184,85,74,1,0,75,SimulationLapin_192_mois_13|01_01:13_26.csv
56,212,1234,60,20,1314,149,121,5,4,130,SimulationLapin_192_mois_13|01_01:13_26.csv
57,226,1338,63,21,1422,122,104,3,1,108,SimulationLapin_192_mois_13|01_01:13_26.csv
58,260,1487,66,24,1577,189,149,3,3,155,SimulationLapin_192_mois_13|01_01:13_26.csv
59,279,1600,69,24,1693,135,113,3,0,116,SimulationLapin_192_mois_13|01_01:13_26.csv
60,300,1748,76,28,1852,180,148,7,4,159,SimulationLapin_192_mois_13|01_01:13_26.csv
61,327,1880,82,31,1993,168,132,6,3,141,SimulationLapin_192_mois_13|01_01:13_26.csv
62,355,2026,97,34,2157,192,146,15,3,164,SimulationLapin_192_mois_13|01_01:13_26.csv
63,383,2175,104,35,2314,185,149,7,1,157,SimulationLapin_192_mois_13|01_01:13_26.csv
64,421,2336,116,38,2490,214,161,12,3,176,SimulationLapin_192_mois_13|01_01:13_26.csv
65,455,2560,131,39,2730,274,224,15,1,240,SimulationLapin_192_mois_13|01_01:13_26.csv
66,495,2747,135,45,2927,237,187,4,6,197,SimulationLapin_192_mois_13|01_01:13_26.csv
67,535,2954,143,50,3147,260,207,8,5,220,SimulationLapin_192_mois_13|01_01:13_26.csv
68,565,3171,160,56,3387,270,217,17,6,240,SimulationLapin_192_mois_13|01_01:13_26.csv
69,601,3423,174,61,3658,307,252,14,5,271,SimulationLapin_192_mois_13|01_01:13_26.csv
70,633,3685,191,71,3947,321,262,17,10,289,SimulationLapin_192_mois_13|01_01:13_26.csv
71,687,3996,207,75,4278,385,311,16,4,331,SimulationLapin_192_mois_13|01_01:13_26.csv
72,745,4307,228,84,4619,399,311,21,9,341,SimulationLapin_192_mois_13|01_01:13_26.csv
73,813,4649,240,95,4984,433,342,12,11,365,SimulationLapin_192_mois_13|01_01:13_26.csv
74,884,4983,254,103,5340,427,334,14,8,356,SimulationLapin_192_mois_13|01_01:13_26.csv
75,964,5388,277,112,5777,517,405,23,9,437,SimulationLapin_192_mois_13|01_01:13_26.csv
76,1034,5786,301,125,6212,505,398,24,13,435,SimulationLapin_192_mois_13|01_01:13_26.csv
77,1128,6259,329,130,6718,600,473,28,5,506,SimulationLapin_192_mois_13|01_01:13_26.csv
78,1215,6706,357,137,7200,569,447,28,7,482,SimulationLapin_192_mois_13|01_01:13_26.csv
79,1304,7277,386,154,7817,706,571,29,17,617,SimulationLapin_192_mois_13|01_01:13_26.csv
80,1397,7778,404,165,8347,623,501,18,11,530,SimulationLapin_192_mois_13|01_01:13_26.csv
81,1539,8495,443,179,9117,912,717,39,14,770,SimulationLapin_192_mois_13|01_01:13_26.csv
82,1632,9075,481,192,9748,724,580,38,13,631,SimulationLapin_192_mois_13|01_01:13_26.csv
83,1785,9892,516,220,10628,1033,817,35,28,880,SimulationLapin_192_mois_13|01_01:13_26.csv
84,1881,10585,560,237,11382,850,693,44,17,754,SimulationLapin_192_mois_13|01_01:13_26.csv
85,2072,11532,600,260,12392,1201,947,40,23,1010,SimulationLapin_192_mois_13|01_01:13_26.csv
86,2213,12370,659,280,13309,1058,838,59,20,917,SimulationLapin_192_mois_13|01_01:13_26.csv
87,2432,13550,720,302,14572,1482,1180,61,22,1263,SimulationLapin_192_mois_13|01_01:13_26.csv
88,2601,14532,788,327,15647,1244,982,68,25,1075,SimulationLapin_192_mois_13|01_01:13_26.csv
89,2858,15948,849,346,17143,1753,1416,61,19,1496,SimulationLapin_192_mois_13|01_01:13_26.csv
90,3036,17151,915,387,18453,1488,1203,66,41,1310,SimulationLapin_192_mois_13|01_01:13_26.csv
91,3339,18773,995,420,20188,2038,1622,80,33,1735,SimulationLapin_192_mois_13|01_01:13_26.csv
92,3566,20038,1046,453,21537,1576,1265,51,33,1349,SimulationLapin_192_mois_13|01_01:13_26.csv
93,3877,21866,1130,497,23493,2267,1828,84,44,1956,SimulationLapin_192_mois_13|01_01:13_26.csv
94,4143,23449,1216,535,25200,1973,1583,86,38,1707,SimulationLapin_192_mois_13|01_01:13_26.csv
95,4493,25559,1311,588,27458,2608,2110,95,53,2258,SimulationLapin_192_mois_13|01_01:13_26.csv
96,4811,27501,1411,638,29550,2410,1942,100,50,2092,SimulationLapin_192_mois_13|01_01:13_26.csv
97,5215,29962,1532,694,32188,3042,2461,121,56,2638,SimulationLapin_192_mois_13|01_01:13_26.csv
98,5603,32167,1648,754,34569,2769,2205,116,60,2381,SimulationLapin_192_mois_13|01_01:13_26.csv
99,6079,35045,1788,828,37661,3568,2878,140,74,3092,SimulationLapin_192_mois_13|01_01:13_26.csv
100,6491,37645,1947,905,40497,3248,2600,159,77,2836,SimulationLapin_192_mois_13|01_01:13_26.csv
101,7052,40855,2090,973,43918,3982,3210,143,68,3421,SimulationLapin_192_mois_13|01_01:13_26.csv
102,7645,43984,2253,1054,47291,3966,3129,163,81,3373,SimulationLapin_192_mois_13|01_01:13_26.csv
103,8323,47676,2442,1136,51254,4641,3692,189,82,3963,SimulationLapin_192_mois_13|01_01:13_26.csv
104,8964,51375,2623,1228,55226,4613,3699,181,92,3972,SimulationLapin_192_mois_13|01_01:13_26.csv
105,9755,55660,2866,1320,59846,5411,4285,243,92,4620,SimulationLapin_192_mois_13|01_01:13_26.csv
106,10491,60105,3106,1441,64652,5542,4445,240,121,4806,SimulationLapin_192_mois_13|01_01:13_26.csv
107,11362,64977,3365,1562,69904,6123,4872,259,121,5252,SimulationLapin_192_mois_13|01_01:13_26.csv
108,12243,70300,3616,1672,75588,6565,5323,251,110,5684,SimulationLapin_192_mois_13|01_01:13_26.csv
109,13307,75850,3902,1797,81549,7025,5550,286,125,5961,SimulationLapin_192_mois_13|01_01:13_26.csv
110,14487,81995,4251,1931,88177,7808,6145,349,134,6628,SimulationLapin_192_mois_13|01_01:13_26.csv
111,15689,88594,4581,2101,95276,8301,6599,330,170,7099,SimulationLapin_192_mois_13|01_01:13_26.csv
112,16986,95894,4936,2255,103085,9106,7300,355,154,7809,SimulationLapin_192_mois_13|01_01:13_26.csv
113,18382,103739,5335,2412,111486,9797,7845,399,157,8401,SimulationLapin_192_mois_13|01_01:13_26.csv
114,19912,112295,5763,2633,120691,10735,8556,428,221,9205,SimulationLapin_192_mois_13|01_01:13_26.csv
115,21452,121400,6244,2866,130510,11359,9105,481,233,9819,SimulationLapin_192_mois_13|01_01:13_26.csv
116,23271,131639,6789,3085,141513,12822,10239,545,219,11003,SimulationLapin_192_mois_13|01_01:13_26.csv
117,25233,142371,7316,3327,153014,13463,10732,527,242,11501,SimulationLapin_192_mois_13|01_01:13_26.csv
118,27434,154236,7886,3592,165714,14901,11865,570,265,12700,SimulationLapin_192_mois_13|01_01:13_26.csv
119,29658,166658,8525,3868,179051,15561,12422,639,276,13337,SimulationLapin_192_mois_13|01_01:13_26.csv
120,32269,180381,9225,4149,193755,17315,13723,700,281,14704,SimulationLapin_192_mois_13|01_01:13_26.csv
121,34840,195066,9987,4500,209553,18369,14685,762,351,15798,SimulationLapin_192_mois_13|01_01:13_26.csv
122,37699,211394,10840,4856,227090,20396,16328,853,356,17537,SimulationLapin_192_mois_13|01_01:13_26.csv
123,40635,228388,11759,5235,245382,21228,16994,919,379,18292,SimulationLapin_192_mois_13|01_01:13_26.csv
124,43980,247515,12709,5661,265885,23848,19127,950,426,20503,SimulationLapin_192_mois_13|01_01:13_26.csv
125,47564,267384,13734,6158,287276,24975,19869,1025,497,21391,SimulationLapin_192_mois_13|01_01:13_26.csv
126,51600,289404,14835,6633,310872,27632,22020,1101,475,23596,SimulationLapin_192_mois_13|01_01:13_26.csv
127,55930,313219,16055,7156,336430,29888,23815,1220,523,25558,SimulationLapin_192_mois_13|01_01:13_26.csv
128,60555,339627,17398,7754,364779,32974,26408,1343,598,28349,SimulationLapin_192_mois_13|01_01:13_26.csv
129,65419,367097,18823,8379,394299,34384,27470,1425,625,29520,SimulationLapin_192_mois_13|01_01:13_26.csv
130,70866,398171,20387,9092,427650,38798,31074,1564,713,33351,SimulationLapin_192_mois_13|01_01:13_26.csv
131,76411,430366,22157,9857,462380,40275,32195,1770,765,34730,SimulationLapin_192_mois_13|01_01:13_26.csv
132,82845,466568,24013,10632,501213,45267,36202,1856,775,38833,SimulationLapin_192_mois_13|01_01:13_26.csv
133,89532,504659,25963,11476,542098,47572,38091,1950,844,40885,SimulationLapin_192_mois_13|01_01:13_26.csv
134,96871,547331,28122,12505,587958,53199,42672,2159,1029,45860,SimulationLapin_192_mois_13|01_01:13_26.csv
135,104908,591512,30373,13495,635380,55459,44181,2251,990,47422,SimulationLapin_192_mois_13|01_01:13_26.csv
136,113607,641252,32909,14632,688793,62112,49740,2536,1137,53413,SimulationLapin_192_mois_13|01_01:13_26.csv
137,122605,693248,35705,15864,744817,65022,51996,2796,1232,56024,SimulationLapin_192_mois_13|01_01:13_26.csv
138,132701,751463,38749,17193,807405,72684,58215,3044,1329,62588,SimulationLapin_192_mois_13|01_01:13_26.csv
139,143584,812183,41953,18505,872641,76119,60720,3204,1312,65236,SimulationLapin_192_mois_13|01_01:13_26.csv
140,155788,880038,45335,20021,945394,84957,67855,3382,1516,72753,SimulationLapin_192_mois_13|01_01:13_26.csv
141,168107,951582,49120,21583,1022285,89210,71544,3785,1562,76891,SimulationLapin_192_mois_13|01_01:13_26.csv
142,182128,1031341,53136,23407,1107884,99620,79759,4016,1824,85599,SimulationLapin_192_mois_13|01_01:13_26.csv
143,197329,1115408,57339,25328,1198075,105392,84067,4203,1921,90191,SimulationLapin_192_mois_13|01_01:13_26.csv
144,213993,1207984,62081,27378,1297443,116032,92576,4742,2050,99368,SimulationLapin_192_mois_13|01_01:13_26.csv
145,231707,1307292,67237,29565,1404094,124365,99308,5156,2187,106651,SimulationLapin_192_mois_13|01_01:13_26.csv
146,250981,1415405,72698,32032,1520135,135315,108113,5461,2467,116041,SimulationLapin_192_mois_13|01_01:13_26.csv
147,271449,1531507,78643,34664,1644814,145147,116102,5945,2632,124679,SimulationLapin_192_mois_13|01_01:13_26.csv
148,293459,1658055,85235,37549,1780839,158035,126548,6592,2885,136025,SimulationLapin_192_mois_13|01_01:13_26.csv
149,317645,1794627,92177,40560,1927364,170711,136572,6942,3011,146525,SimulationLapin_192_mois_13|01_01:13_26.csv
150,343667,1942692,99625,44035,2086352,185010,148065,7448,3475,158988,SimulationLapin_192_mois_13|01_01:13_26.csv
151,371856,2102678,107939,47621,2258238,200075,159986,8314,3586,171886,SimulationLapin_192_mois_13|01_01:13_26.csv
152,402350,2277170,116760,51543,2445473,217729,174492,8821,3922,187235,SimulationLapin_192_mois_13|01_01:13_26.csv
153,435847,2465043,126420,55780,2647243,235267,187873,9660,4237,201770,SimulationLapin_192_mois_13|01_01:13_26.csv
154,471350,2668936,136912,60501,2866349,254609,203893,10492,4721,219106,SimulationLapin_192_mois_13|01_01:13_26.csv
155,509753,2888900,148285,65409,3102594,274648,219964,11373,4908,236245,SimulationLapin_192_mois_13|01_01:13_26.csv
156,551442,3126859,160429,70880,3358168,297263,237959,12144,5471,255574,SimulationLapin_192_mois_13|01_01:13_26.csv
157,597159,3385266,173521,76620,3635407,322956,258407,13092,5740,277239,SimulationLapin_192_mois_13|01_01:13_26.csv
158,645744,3662281,187957,82795,3933033,346211,277015,14436,6175,297626,SimulationLapin_192_mois_13|01_01:13_26.csv
159,698877,3964226,203635,89581,4257442,377542,301945,15678,6786,324409,SimulationLapin_192_mois_13|01_01:13_26.csv
160,756260,4290030,220513,97028,4607571,407512,325804,16878,7447,350129,SimulationLapin_192_mois_13|01_01:13_26.csv
161,817804,4642885,238662,105184,4986731,440704,352855,18149,8156,379160,SimulationLapin_192_mois_13|01_01:13_26.csv
162,884330,5023410,258437,113817,5395664,475459,380525,19775,8633,408933,SimulationLapin_192_mois_13|01_01:13_26.csv
163,957545,5436434,279233,123208,5838875,516426,413024,20796,9391,443211,SimulationLapin_192_mois_13|01_01:13_26.csv
164,1036315,5880737,301851,133303,6315891,555786,444303,22618,10095,477016,SimulationLapin_192_mois_13|01_01:13_26.csv
165,1121441,6364962,326674,144294,6835930,605165,484225,24823,10991,520039,SimulationLapin_192_mois_13|01_01:13_26.csv
166,1212788,6885957,353175,156124,7395256,650673,520995,26501,11830,559326,SimulationLapin_192_mois_13|01_01:13_26.csv
167,1312603,7453854,382299,169049,8005202,709761,567897,29124,12925,609946,SimulationLapin_192_mois_13|01_01:13_26.csv
168,1420015,8063559,413769,182698,8660026,762236,609705,31470,13649,654824,SimulationLapin_192_mois_13|01_01:13_26.csv
169,1537546,8728062,447408,197675,9373145,830650,664503,33639,14977,713119,SimulationLapin_192_mois_13|01_01:13_26.csv
170,1662743,9443028,484245,213862,10141135,893187,714966,36837,16187,767990,SimulationLapin_192_mois_13|01_01:13_26.csv
171,1800179,10222325,523670,231361,10977356,973657,779297,39425,17499,836221,SimulationLapin_192_mois_13|01_01:13_26.csv
172,1947647,11059157,566541,250420,11876118,1046230,836832,42871,19059,898762,SimulationLapin_192_mois_13|01_01:13_26.csv
173,2107539,11969100,613260,271114,12853474,1137248,909943,46719,20694,977356,SimulationLapin_192_mois_13|01_01:13_26.csv
174,2280193,12949064,663554,293443,13906061,1225241,979964,50294,22329,1052587,SimulationLapin_192_mois_13|01_01:13_26.csv
175,2468762,14013355,717879,317730,15048964,1331472,1064291,54325,24287,1142903,SimulationLapin_192_mois_13|01_01:13_26.csv
176,2670133,15163457,777048,343450,16283955,1436362,1150102,59169,25720,1234991,SimulationLapin_192_mois_13|01_01:13_26.csv
177,2889458,16412894,840850,371750,17625494,1560864,1249437,63802,28300,1341539,SimulationLapin_192_mois_13|01_01:13_26.csv
178,3126018,17760041,910145,402304,19072490,1683556,1347147,69295,30554,1446996,SimulationLapin_192_mois_13|01_01:13_26.csv
179,3383942,19219302,985001,435026,20639329,1824763,1459261,74856,32722,1566839,SimulationLapin_192_mois_13|01_01:13_26.csv
180,3662377,20795301,1065887,470862,22332050,1971156,1575999,80886,35836,1692721,SimulationLapin_192_mois_13|01_01:13_26.csv
181,3964100,22504711,1153120,509238,24167069,2136742,1709410,87233,38376,1835019,SimulationLapin_192_mois_13|01_01:13_26.csv
182,4288460,24354378,1247817,551102,26153297,2310588,1849667,94697,41864,1986228,SimulationLapin_192_mois_13|01_01:13_26.csv
183,4640848,26357232,1350201,596672,28304105,2503196,2002854,102384,45570,2150808,SimulationLapin_192_mois_13|01_01:13_26.csv
184,5022321,28519171,1461377,645586,30626134,2703502,2161939,111176,48914,2322029,SimulationLapin_192_mois_13|01_01:13_26.csv
185,5434995,30864358,1582159,698277,33144794,2931334,2345187,120782,52691,2518660,SimulationLapin_192_mois_13|01_01:13_26.csv
186,5879579,33395347,1713293,755279,35863919,3163709,2530989,131134,57002,2719125,SimulationLapin_192_mois_13|01_01:13_26.csv
187,6363268,36141119,1853558,817539,38812216,3431986,2745772,140265,62260,2948297,SimulationLapin_192_mois_13|01_01:13_26.csv
188,6886803,39106402,2005622,884216,41996240,3707559,2965283,152064,66677,3184024,SimulationLapin_192_mois_13|01_01:13_26.csv
189,7451689,42321412,2170463,956596,45448471,4017117,3215010,164841,72380,3452231,SimulationLapin_192_mois_13|01_01:13_26.csv
190,8063212,45793047,2348530,1035255,49176832,4339884,3471635,178067,78659,3728361,SimulationLapin_192_mois_13|01_01:13_26.csv
191,8726021,49556515,2541032,1120149,53217696,4703673,3763468,192502,84894,4040864,SimulationLapin_192_mois_13|01_01:13_26.csv
192,9441734,53622572,2749705,1212391,57584668,5082685,4066057,208673,92242,4366972,SimulationLapin_192_mois_13|01_01:13_26.csv
1,3,0,0,1,1,0,0,0,1,1,SimulationLapin_192_mois_13|01_01:13_27.csv
2,5,2,0,1,3,4,2,0,0,2,SimulationLapin_192_mois_13|01_01:13_27.csv
3,5,2,0,1,3,0,0,0,0,0,SimulationLapin_192_mois_13|01_01:13_27.csv
4,6,6,1,1,8,6,4,1,0,5,SimulationLapin_192_mois_13|01_01:13_27.csv
5,6,6,1,1,8,0,0,0,0,0,SimulationLapin_192_mois_13|01_01:13_27.csv
6,7,9,1,1,11,4,3,0,0,3,SimulationLapin_192_mois_13|01_01:13_27.csv
7,7,9,1,1,11,0,0,0,0,0,SimulationLapin_192_mois_13|01_01:13_27.csv
8,8,14,1,1,16,6,5,0,0,5,SimulationLapin_192_mois_13|01_01:13_27.csv
9,8,14,1,1,16,0,0,0,0,0,SimulationLapin_192_mois_13|01_01:13_27.csv
10,7,16,1,3,20,3,2,0,2,4,SimulationLapin_192_mois_13|01_01:13_27.csv
11,8,20,2,3,25,6,4,1,0,5,SimulationLapin_192_mois_13|01_01:13_27.csv
12,8,26,2,3,31,6,6,0,0,6,SimulationLapin_192_mois_13|01_01:13_27.csv
13,10,30,2,3,35,6,4,0,0,4,SimulationLapin_192_mois_13|01_01:13_27.csv
14,10,36,2,3,41,6,6,0,0,6,SimulationLapin_192_mois_13|01_01:13_27.csv
15,9,39,3,3,45,3,3,1,0,4,SimulationLapin_192_mois_13|01_01:13_27.csv
16,10,48,3,3,54,10,9,0,0,9,SimulationLapin_192_mois_13|01_01:13_27.csv
17,10,52,3,3,58,4,4,0,0,4,SimulationLapin_192_mois_13|01_01:13_27.csv
18,12,57,3,3,63,7,5,0,0,5,SimulationLapin_192_mois_13|01_01:13_27.csv
19,13,63,3,3,69,7,6,0,0,6,SimulationLapin_192_mois_13|01_01:13_27.csv
